,time,price,route_id,age_SimpleImputer(strategy='mode'),gender_Hombre,gender_Mujer,gender_Prefiero no decirlo,type_Historica,type_Literaria,type_Patrimonio,type_Turistica,diff_Alta,diff_Baja,comp_Amigos,comp_Familia,comp_Pareja,comp_Solo,trans_Bicicleta,trans_Pie
24,7.5,3,Glorieta-Santa Catalina,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0
25,1.5,3,Sant Agustí – Pont de Fusta,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
26,5.5,1,Glorieta-Santa Catalina,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
27,3.5,3,Glorieta-Santa Catalina,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
28,1.5,1,Sant Agustí - Portal Nou,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
29,1.5,1,Glorieta-Santa Catalina,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
30,7.5,1,Entre Naranjos,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
31,3.5,1,Glorieta-Santa Catalina,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
32,5.5,2,Ruta València amb bicicleta,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
33,3.5,3,Trinitat - L'Almodí,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0
34,5.5,2,Ruta recinte enmurallat d'època islàmica,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
35,3.5,1,Ruta Cultural Anell Ciclista,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
36,5.5,2,Ruta València amb bicicleta,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
37,7.5,1,Glorieta-Santa Catalina,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
38,7.5,3,Trinitat - L'Almodí,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
39,5.5,3,Arbres: La volta al món,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0
40,7.5,1,Ruta Cultural Anell Ciclista,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
41,3.5,2,Trinitat - L'Almodí,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
42,1.5,3,Trinitat - L'Almodí,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
43,7.5,1,Glorieta-Santa Catalina,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1
44,5.5,1,Ruta Cultural Anell Ciclista,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
45,3.5,1,Ruta recinte enmurallat d'època islàmica,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
46,7.5,3,Contes Blasco Ibañez – Ruta 2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
47,1.5,1,Arbres: La volta al món,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1
48,1.5,3,Trinitat - L'Almodí,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
49,7.5,3,Contes Blasco Ibañez – Ruta 1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
50,3.5,3,Trinitat - L'Almodí,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
51,5.5,3,Glorieta-Santa Catalina,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
52,5.5,3,Ruta Carrer Russafa - la Llotja,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
53,3.5,1,Entre Naranjos,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
54,7.5,3,Arbres: La volta al món,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1
55,5.5,3,Serrans - Palau de la Generalitat,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
56,7.5,3,Trinitat - L'Almodí,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
57,3.5,2,Arbres: La volta al món,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
58,1.5,2,Entre Naranjos,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
59,7.5,2,Trinitat - L'Almodí,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
60,7.5,2,Glorieta-Santa Catalina,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
61,7.5,2,Glorieta-Santa Catalina,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
62,5.5,1,Ruta dels Pecats a l'entorn del Mercat Central,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0
63,7.5,3,Ruta Carrer Russafa - la Llotja,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
64,3.5,3,Entre Naranjos,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
65,3.5,3,Ruta València amb bicicleta,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
66,3.5,1,Ruta dels Pecats a l'entorn del Mercat Central,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
67,5.5,2,Glorieta-Santa Catalina,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
68,5.5,2,Serrans - Palau de la Generalitat,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
69,1.5,1,Sant Agustí - Portal Nou,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
70,3.5,2,Glorieta-Santa Catalina,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
71,3.5,3,Glorieta-Santa Catalina,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
72,1.5,2,Glorieta-Santa Catalina,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0
73,5.5,2,Ruta Carrer Russafa - la Llotja,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
74,5.5,2,Glorieta-Santa Catalina,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
75,5.5,3,Ruta Carrer Russafa - la Llotja,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
76,7.5,2,Contes Blasco Ibañez – Ruta 1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
77,7.5,2,Trinitat - L'Almodí,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
78,3.5,3,Arbres: La volta al món,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
79,5.5,3,Trinitat - L'Almodí,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
80,5.5,3,Entre Naranjos,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
81,7.5,2,Glorieta-Santa Catalina,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
82,7.5,3,Arbres: Els indians,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1
83,1.5,1,Glorieta-Santa Catalina,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0
84,7.5,3,Ruta Carrer Russafa - la Llotja,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
85,7.5,2,Serrans - Palau de la Generalitat,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
86,1.5,1,Trinitat - L'Almodí,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
87,5.5,3,Glorieta-Santa Catalina,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
88,1.5,1,Ruta dels Pecats a l'entorn del Mercat Central,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
89,7.5,2,Ruta Cultural Anell Ciclista,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
90,1.5,2,Ruta dels Pecats a l'entorn del Mercat Central,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
91,5.5,1,Ruta Carrer Russafa - la Llotja,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
92,1.5,1,Glorieta-Santa Catalina,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
93,3.5,2,Trinitat - L'Almodí,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
94,3.5,2,Trinitat - L'Almodí,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
95,5.5,2,Ruta Carrer Russafa - la Llotja,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
96,7.5,3,Ruta pel Centre Històric,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
97,3.5,2,Ruta dels Pecats a l'entorn del Mercat Central,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0
98,1.5,3,Sant Agustí - Portal Nou,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
99,5.5,3,Ruta dels Pecats a l'entorn del Mercat Central,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0
100,7.5,3,Arbres: La volta al món,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
101,7.5,2,Ruta Carrer Russafa - la Llotja,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
102,7.5,2,Trinitat - L'Almodí,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
103,5.5,2,Ruta València amb bicicleta,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
104,1.5,1,Arbres: La volta al món,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0
105,3.5,2,Ruta dels Pecats a l'entorn del Mercat Central,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
106,5.5,2,Glorieta-Santa Catalina,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
107,7.5,3,Ruta dels Pecats a l'entorn del Mercat Central,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
108,1.5,3,Ruta València amb bicicleta,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
109,7.5,2,Ruta València amb bicicleta,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
110,7.5,2,Glorieta-Santa Catalina,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
111,1.5,1,Sant Agustí - Portal Nou,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
112,7.5,3,Ruta Carrer Russafa - la Llotja,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
113,5.5,1,Ruta dels Pecats a l'entorn del Mercat Central,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
114,3.5,3,Glorieta-Santa Catalina,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
115,7.5,1,Sant Agustí – Pont de Fusta,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
116,7.5,3,Ruta Carrer Russafa - la Llotja,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
117,3.5,1,Torres de Quart - Temple,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
118,7.5,3,Trinitat - L'Almodí,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
119,3.5,2,Ruta dels Pecats a l'entorn del Mercat Central,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
120,5.5,3,Trinitat - L'Almodí,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
121,1.5,2,Trinitat - L'Almodí,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
122,7.5,3,Arbres: La volta al món,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
123,1.5,3,Sant Agustí - Portal Nou,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
124,5.5,2,Glorieta-Santa Catalina,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
125,3.5,3,Glorieta-Santa Catalina,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
126,7.5,3,Ruta Carrer Russafa - la Llotja,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
127,3.5,3,Trinitat - L'Almodí,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
128,3.5,1,Glorieta-Santa Catalina,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
129,3.5,3,Glorieta-Santa Catalina,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
130,5.5,2,Ruta de la Seda,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
131,7.5,1,Ruta dels Pecats a l'entorn del Mercat Central,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
132,1.5,2,Glorieta-Santa Catalina,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
133,5.5,3,Glorieta-Santa Catalina,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
134,7.5,1,Ruta dels Pecats a l'entorn del Mercat Central,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
135,7.5,1,Trinitat - L'Almodí,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
136,1.5,3,Glorieta-Santa Catalina,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
137,1.5,2,Trinitat - L'Almodí,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0
138,3.5,1,Arbres: La volta al món,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1
139,5.5,2,Ruta Cultural Anell Ciclista,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
140,3.5,2,Glorieta-Santa Catalina,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
141,3.5,3,Arbres: Un passeig per l’Albereda,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
142,3.5,2,Glorieta-Santa Catalina,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
143,7.5,1,Glorieta-Santa Catalina,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
144,7.5,2,Glorieta-Santa Catalina,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
145,5.5,3,Ruta València amb bicicleta,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
146,7.5,1,Ruta Carrer Russafa - la Llotja,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
147,3.5,2,Trinitat - L'Almodí,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
148,5.5,1,Arbres: La volta al món,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0
149,7.5,1,Ruta pel Centre Històric,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
150,7.5,2,Glorieta-Santa Catalina,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
151,7.5,1,Glorieta-Santa Catalina,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
152,7.5,3,Trinitat - L'Almodí,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
153,1.5,1,Glorieta-Santa Catalina,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
154,1.5,3,Trinitat - L'Almodí,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
155,1.5,3,Glorieta-Santa Catalina,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
156,7.5,1,No hay ruta,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
157,3.5,2,Serrans - Palau de la Generalitat,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
158,7.5,2,Contes Blasco Ibañez – Ruta 1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
159,7.5,3,Trinitat - L'Almodí,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0
160,5.5,1,Ruta dels Pecats a l'entorn del Mercat Central,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
161,5.5,2,Arbres: Els indians,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
162,1.5,1,Glorieta-Santa Catalina,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0
163,3.5,3,Glorieta-Santa Catalina,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
164,3.5,1,Glorieta-Santa Catalina,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
165,3.5,1,Glorieta-Santa Catalina,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
166,5.5,3,Arbres: Un viatge pel Mediterrani,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
167,7.5,1,Ruta recinte enmurallat d'època islàmica,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
168,7.5,3,Entre Naranjos,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
169,7.5,3,Ruta dels Pecats a l'entorn del Mercat Central,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
170,3.5,3,Arbres monumentals i singulars,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
171,3.5,3,Glorieta-Santa Catalina,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
172,3.5,2,Trinitat - L'Almodí,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
173,3.5,2,Ruta recinte enmurallat d'època islàmica,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
174,1.5,2,Arbres: Un passeig per l’Albereda,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
175,5.5,2,Ruta València amb bicicleta,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
176,7.5,2,Serrans - Palau de la Generalitat,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
177,7.5,2,Entre Naranjos,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
178,5.5,2,Ruta pel Centre Històric,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
179,3.5,2,Ruta València amb bicicleta,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
180,1.5,1,Arbres: La volta al món,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
181,3.5,1,Arbres: La volta al món,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
182,5.5,2,Glorieta-Santa Catalina,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
183,3.5,2,Ruta dels Pecats a l'entorn del Mercat Central,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0
184,3.5,2,Trinitat - L'Almodí,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
185,3.5,3,Arbres: La volta al món,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
186,3.5,2,Torres de Quart - Temple,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
187,1.5,3,Glorieta-Santa Catalina,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
188,3.5,2,Arbres: Un passeig per l’Albereda,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
189,7.5,2,Arbres: La volta al món,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
190,5.5,3,Ruta dels Pecats a l'entorn del Mercat Central,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
191,1.5,3,La barraca,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
192,1.5,1,Entre Naranjos,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
193,3.5,2,Glorieta-Santa Catalina,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
194,7.5,3,Ruta dels Pecats a l'entorn del Mercat Central,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
195,1.5,1,Trinitat - L'Almodí,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
196,5.5,3,Serrans - Palau de la Generalitat,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
197,1.5,1,Trinitat - L'Almodí,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
198,3.5,2,Ruta València amb bicicleta,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
199,3.5,3,Trinitat - L'Almodí,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
200,5.5,2,Serrans - Palau de la Generalitat,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
201,7.5,1,Arbres: La volta al món,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0
202,1.5,3,Contes Blasco Ibañez – Ruta 1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0
203,1.5,2,Sant Agustí - Portal Nou,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
204,5.5,1,Glorieta-Santa Catalina,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
205,7.5,2,Sant Agustí – Pont de Fusta,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
206,1.5,1,Arbres: Un passeig per l’Albereda,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
207,7.5,2,Entre Naranjos,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
208,3.5,3,Ruta València amb bicicleta,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0
209,3.5,2,Contes Blasco Ibañez – Ruta 2,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
210,5.5,1,Glorieta-Santa Catalina,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
211,3.5,2,Arbres: La volta al món,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
212,3.5,1,Trinitat - L'Almodí,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
213,3.5,3,Contes Blasco Ibañez – Ruta 1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
214,3.5,1,Glorieta-Santa Catalina,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
215,1.5,2,Contes Blasco Ibañez – Ruta 1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
216,7.5,2,Trinitat - L'Almodí,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
217,7.5,2,Arbres: La volta al món,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0
218,7.5,2,Glorieta-Santa Catalina,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
219,1.5,3,Sant Agustí - Portal Nou,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
220,7.5,1,Jardins del Reial - Glorieta,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
221,7.5,1,Ruta Carrer Russafa - la Llotja,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
222,3.5,2,Serrans - Palau de la Generalitat,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
223,3.5,2,Ruta pel Centre Històric,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
224,7.5,3,No hay ruta,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
225,7.5,2,Trinitat - L'Almodí,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
226,5.5,3,Glorieta-Santa Catalina,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
227,5.5,2,Ruta pel Centre Històric,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
228,1.5,3,Trinitat - L'Almodí,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
229,1.5,1,Arbres: La volta al món,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
230,7.5,3,Ruta València amb bicicleta,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
231,7.5,1,Trinitat - L'Almodí,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
232,1.5,1,Trinitat - L'Almodí,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
233,3.5,2,Contes Blasco Ibañez – Ruta 1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
234,7.5,2,Trinitat - L'Almodí,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
235,1.5,3,Ruta dels Pecats a l'entorn del Mercat Central,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
236,7.5,1,Arbres monumentals i singulars,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0
237,5.5,3,Trinitat - L'Almodí,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
238,1.5,1,Sant Agustí - Portal Nou,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
239,7.5,1,Ruta Cultural Anell Ciclista,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0
240,5.5,2,Trinitat - L'Almodí,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
241,7.5,2,No hay ruta,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
242,1.5,2,Ruta Cultural Anell Ciclista,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0
243,7.5,1,Glorieta-Santa Catalina,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
244,7.5,1,Contes Blasco Ibañez – Ruta 1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
245,5.5,2,Trinitat - L'Almodí,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
246,5.5,2,Trinitat - L'Almodí,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0
247,1.5,1,Contes Blasco Ibañez – Ruta 1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
248,5.5,2,Ruta Cultural Anell Ciclista,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
