,age,gender,time,type_route,price,difficulty,accompaniment,transport,route_id
40,18-35,Prefiero no decirlo,7.5,Historica,Gratis,Baja,Familia,Bicicleta,Arbres monumentals i singulars
41,35-45,Mujer,3.5,Literaria,1-50 Euros,Alta,Pareja,Pie,Trinitat - L'Almodí
42,+45,Prefiero no decirlo,1.5,Historica,+50 Euros,Alta,Pareja,Bicicleta,Trinitat - L'Almodí
43,+45,Hombre,7.5,Turistica,Gratis,Alta,Pareja,Pie,Glorieta-Santa Catalina
44,18-35,Prefiero no decirlo,5.5,Turistica,Gratis,Baja,Pareja,Bicicleta,Ruta Cultural Anell Ciclista
45,18-35,Mujer,3.5,Historica,Gratis,Alta,Amigos,Pie,Ruta recinte enmurallat d'època islàmica
46,18-35,Hombre,7.5,Literaria,+50 Euros,Baja,Familia,Pie,La barraca
47,0-18,Hombre,1.5,Turistica,Gratis,Baja,Amigos,Pie,Arbres: La volta al món
48,+45,Prefiero no decirlo,1.5,Patrimonio,+50 Euros,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
49,+45,Mujer,7.5,Literaria,+50 Euros,Baja,Solo,Bicicleta,Contes Blasco Ibañez – Ruta 1
50,+45,Prefiero no decirlo,3.5,Historica,+50 Euros,Alta,Pareja,Bicicleta,Trinitat - L'Almodí
51,35-45,Hombre,5.5,Literaria,+50 Euros,Alta,Pareja,Bicicleta,Trinitat - L'Almodí
52,+45,Prefiero no decirlo,5.5,Patrimonio,+50 Euros,Baja,Pareja,Bicicleta,Ruta Carrer Russafa - la Llotja
53,0-18,Mujer,3.5,Literaria,Gratis,Baja,Amigos,Bicicleta,Contes Blasco Ibañez – Ruta 1
54,+45,Hombre,7.5,Turistica,+50 Euros,Baja,Amigos,Pie,Arbres: La volta al món
55,18-35,Mujer,5.5,Patrimonio,+50 Euros,Baja,Pareja,Pie,Serrans - Palau de la Generalitat
56,+45,Mujer,7.5,Historica,+50 Euros,Alta,Solo,Pie,Trinitat - L'Almodí
57,0-18,Prefiero no decirlo,3.5,Turistica,1-50 Euros,Baja,Pareja,Pie,Arbres: La volta al món
58,+45,Mujer,1.5,Literaria,1-50 Euros,Baja,Amigos,Bicicleta,Entre Naranjos
59,0-18,Hombre,7.5,Historica,1-50 Euros,Alta,Pareja,Pie,Trinitat - L'Almodí
60,+45,Mujer,7.5,Patrimonio,1-50 Euros,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
61,35-45,Prefiero no decirlo,7.5,Literaria,1-50 Euros,Alta,Pareja,Bicicleta,Trinitat - L'Almodí
62,+45,Hombre,5.5,Historica,Gratis,Baja,Solo,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
63,0-18,Mujer,7.5,Patrimonio,+50 Euros,Baja,Solo,Bicicleta,Ruta Carrer Russafa - la Llotja
64,+45,Hombre,3.5,Literaria,+50 Euros,Baja,Amigos,Bicicleta,Entre Naranjos
65,18-35,Mujer,3.5,Literaria,+50 Euros,Alta,Pareja,Bicicleta,Ruta València amb bicicleta
66,+45,Prefiero no decirlo,3.5,Historica,Gratis,Baja,Pareja,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
67,+45,Hombre,5.5,Literaria,1-50 Euros,Alta,Familia,Pie,Trinitat - L'Almodí
68,18-35,Hombre,5.5,Patrimonio,1-50 Euros,Baja,Pareja,Pie,Serrans - Palau de la Generalitat
69,35-45,Hombre,1.5,Patrimonio,Gratis,Baja,Amigos,Bicicleta,Sant Agustí - Portal Nou
70,0-18,Mujer,3.5,Literaria,1-50 Euros,Alta,Solo,Pie,Glorieta-Santa Catalina
71,+45,Mujer,3.5,Patrimonio,+50 Euros,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
72,35-45,Mujer,1.5,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,Trinitat - L'Almodí
73,0-18,Prefiero no decirlo,5.5,Patrimonio,1-50 Euros,Baja,Pareja,Pie,Ruta Carrer Russafa - la Llotja
74,0-18,Hombre,5.5,Literaria,1-50 Euros,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
75,35-45,Mujer,5.5,Patrimonio,+50 Euros,Baja,Solo,Bicicleta,Ruta Carrer Russafa - la Llotja
76,0-18,Prefiero no decirlo,7.5,Literaria,1-50 Euros,Baja,Amigos,Pie,Contes Blasco Ibañez – Ruta 1
77,35-45,Hombre,7.5,Turistica,1-50 Euros,Alta,Amigos,Pie,Glorieta-Santa Catalina
78,+45,Hombre,3.5,Turistica,+50 Euros,Baja,Familia,Pie,Arbres: La volta al món
79,+45,Prefiero no decirlo,5.5,Literaria,+50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
80,+45,Mujer,5.5,Literaria,+50 Euros,Baja,Familia,Pie,Contes Blasco Ibañez – Ruta 1
81,35-45,Mujer,7.5,Historica,1-50 Euros,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
82,18-35,Hombre,7.5,Turistica,+50 Euros,Baja,Amigos,Pie,Arbres: Un passeig per l’Albereda
83,0-18,Prefiero no decirlo,1.5,Literaria,Gratis,Alta,Solo,Bicicleta,Trinitat - L'Almodí
84,35-45,Prefiero no decirlo,7.5,Patrimonio,+50 Euros,Baja,Pareja,Pie,Ruta Carrer Russafa - la Llotja
85,18-35,Hombre,7.5,Patrimonio,1-50 Euros,Baja,Pareja,Pie,Serrans - Palau de la Generalitat
86,35-45,Mujer,1.5,Patrimonio,Gratis,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
87,0-18,Mujer,5.5,Patrimonio,+50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
88,+45,Mujer,1.5,Historica,Gratis,Baja,Pareja,Pie,Ruta dels Pecats a l'entorn del Mercat Central
89,18-35,Mujer,7.5,Literaria,1-50 Euros,Baja,Amigos,Bicicleta,Arbres monumentals i singulars
90,0-18,Hombre,1.5,Historica,1-50 Euros,Baja,Amigos,Pie,Ruta dels Pecats a l'entorn del Mercat Central
91,35-45,Hombre,5.5,Patrimonio,Gratis,Baja,Familia,Pie,Ruta Carrer Russafa - la Llotja
92,0-18,Prefiero no decirlo,1.5,Literaria,Gratis,Alta,Familia,Pie,Trinitat - L'Almodí
93,35-45,Mujer,3.5,Historica,1-50 Euros,Alta,Familia,Bicicleta,Trinitat - L'Almodí
94,0-18,Prefiero no decirlo,3.5,Historica,1-50 Euros,Alta,Solo,Pie,Trinitat - L'Almodí
95,+45,Mujer,5.5,Patrimonio,1-50 Euros,Baja,Amigos,Pie,Ruta Carrer Russafa - la Llotja
96,18-35,Prefiero no decirlo,7.5,Turistica,+50 Euros,Alta,Familia,Pie,Ruta pel Centre Històric
97,+45,Mujer,3.5,Historica,1-50 Euros,Baja,Solo,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
98,35-45,Mujer,1.5,Patrimonio,+50 Euros,Baja,Familia,Bicicleta,Sant Agustí - Portal Nou
99,35-45,Prefiero no decirlo,5.5,Historica,+50 Euros,Baja,Solo,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
100,+45,Prefiero no decirlo,7.5,Turistica,+50 Euros,Baja,Pareja,Bicicleta,Arbres: La volta al món
101,+45,Hombre,7.5,Patrimonio,1-50 Euros,Baja,Pareja,Bicicleta,Ruta Carrer Russafa - la Llotja
102,0-18,Hombre,7.5,Patrimonio,1-50 Euros,Alta,Amigos,Pie,Glorieta-Santa Catalina
103,18-35,Prefiero no decirlo,5.5,Patrimonio,1-50 Euros,Alta,Pareja,Bicicleta,Ruta València amb bicicleta
104,0-18,Mujer,1.5,Turistica,Gratis,Baja,Amigos,Bicicleta,Arbres: La volta al món
105,35-45,Prefiero no decirlo,3.5,Historica,1-50 Euros,Baja,Pareja,Pie,Ruta dels Pecats a l'entorn del Mercat Central
106,0-18,Mujer,5.5,Patrimonio,1-50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
107,+45,Mujer,7.5,Historica,+50 Euros,Baja,Amigos,Pie,Ruta dels Pecats a l'entorn del Mercat Central
108,18-35,Prefiero no decirlo,1.5,Historica,+50 Euros,Alta,Pareja,Bicicleta,Ruta València amb bicicleta
109,18-35,Hombre,7.5,Literaria,1-50 Euros,Alta,Pareja,Bicicleta,Ruta València amb bicicleta
110,+45,Hombre,7.5,Patrimonio,1-50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
111,35-45,Prefiero no decirlo,1.5,Patrimonio,Gratis,Baja,Amigos,Bicicleta,Sant Agustí - Portal Nou
112,+45,Prefiero no decirlo,7.5,Patrimonio,+50 Euros,Baja,Amigos,Bicicleta,Ruta Carrer Russafa - la Llotja
113,+45,Hombre,5.5,Historica,Gratis,Baja,Pareja,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
114,35-45,Mujer,3.5,Patrimonio,+50 Euros,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
115,18-35,Prefiero no decirlo,7.5,Patrimonio,Gratis,Alta,Amigos,Pie,Jardins del Reial - Glorieta
116,35-45,Mujer,7.5,Patrimonio,+50 Euros,Baja,Amigos,Pie,Ruta Carrer Russafa - la Llotja
117,35-45,Prefiero no decirlo,3.5,Patrimonio,Gratis,Baja,Amigos,Bicicleta,Torres de Quart - Temple
118,35-45,Prefiero no decirlo,7.5,Patrimonio,+50 Euros,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
119,0-18,Hombre,3.5,Historica,1-50 Euros,Baja,Familia,Pie,Ruta dels Pecats a l'entorn del Mercat Central
120,+45,Prefiero no decirlo,5.5,Literaria,+50 Euros,Alta,Solo,Pie,Trinitat - L'Almodí
121,+45,Prefiero no decirlo,1.5,Historica,1-50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
122,0-18,Hombre,7.5,Turistica,+50 Euros,Baja,Familia,Pie,Arbres: La volta al món
123,0-18,Hombre,1.5,Patrimonio,+50 Euros,Baja,Amigos,Bicicleta,Sant Agustí - Portal Nou
124,0-18,Prefiero no decirlo,5.5,Literaria,1-50 Euros,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
125,0-18,Mujer,3.5,Historica,+50 Euros,Alta,Familia,Bicicleta,Trinitat - L'Almodí
126,0-18,Hombre,7.5,Patrimonio,+50 Euros,Baja,Solo,Pie,Ruta Carrer Russafa - la Llotja
127,0-18,Prefiero no decirlo,3.5,Patrimonio,+50 Euros,Alta,Amigos,Pie,Trinitat - L'Almodí
128,0-18,Hombre,3.5,Turistica,Gratis,Alta,Solo,Pie,Trinitat - L'Almodí
129,35-45,Hombre,3.5,Patrimonio,+50 Euros,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
130,18-35,Prefiero no decirlo,5.5,Historica,1-50 Euros,Alta,Familia,Pie,Ruta recinte enmurallat d'època islàmica
131,35-45,Prefiero no decirlo,7.5,Historica,Gratis,Baja,Familia,Pie,Ruta dels Pecats a l'entorn del Mercat Central
132,0-18,Hombre,1.5,Turistica,1-50 Euros,Alta,Amigos,Pie,Glorieta-Santa Catalina
133,+45,Prefiero no decirlo,5.5,Turistica,+50 Euros,Alta,Familia,Bicicleta,Trinitat - L'Almodí
134,+45,Mujer,7.5,Historica,Gratis,Baja,Familia,Pie,Ruta dels Pecats a l'entorn del Mercat Central
135,0-18,Hombre,7.5,Turistica,Gratis,Alta,Solo,Pie,Glorieta-Santa Catalina
136,+45,Prefiero no decirlo,1.5,Turistica,+50 Euros,Alta,Solo,Pie,Trinitat - L'Almodí
137,0-18,Prefiero no decirlo,1.5,Historica,1-50 Euros,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
138,35-45,Hombre,3.5,Turistica,Gratis,Baja,Amigos,Pie,Arbres: La volta al món
139,18-35,Mujer,5.5,Patrimonio,1-50 Euros,Baja,Familia,Bicicleta,Arbres monumentals i singulars
140,35-45,Mujer,3.5,Historica,1-50 Euros,Alta,Solo,Bicicleta,Trinitat - L'Almodí
141,18-35,Prefiero no decirlo,3.5,Turistica,+50 Euros,Baja,Amigos,Pie,Arbres: Un viatge pel Mediterrani
142,35-45,Mujer,3.5,Patrimonio,1-50 Euros,Alta,Familia,Pie,Glorieta-Santa Catalina
143,+45,Mujer,7.5,Historica,Gratis,Alta,Pareja,Pie,Trinitat - L'Almodí
144,0-18,Mujer,7.5,Patrimonio,1-50 Euros,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
145,18-35,Prefiero no decirlo,5.5,Historica,+50 Euros,Alta,Amigos,Bicicleta,Ruta València amb bicicleta
146,+45,Mujer,7.5,Patrimonio,Gratis,Baja,Amigos,Bicicleta,Ruta Carrer Russafa - la Llotja
147,+45,Mujer,3.5,Literaria,1-50 Euros,Alta,Solo,Pie,Trinitat - L'Almodí
148,+45,Hombre,5.5,Turistica,Gratis,Baja,Amigos,Bicicleta,Arbres: La volta al món
149,18-35,Mujer,7.5,Turistica,Gratis,Alta,Familia,Pie,Ruta pel Centre Històric
150,+45,Mujer,7.5,Patrimonio,1-50 Euros,Alta,Pareja,Pie,Trinitat - L'Almodí
151,+45,Prefiero no decirlo,7.5,Patrimonio,Gratis,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
152,0-18,Mujer,7.5,Patrimonio,+50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
153,+45,Mujer,1.5,Turistica,Gratis,Alta,Pareja,Pie,Trinitat - L'Almodí
154,+45,Prefiero no decirlo,1.5,Historica,+50 Euros,Alta,Familia,Pie,Trinitat - L'Almodí
155,35-45,Hombre,1.5,Literaria,+50 Euros,Alta,Amigos,Pie,Trinitat - L'Almodí
156,18-35,Mujer,7.5,Literaria,Gratis,Alta,Pareja,Pie,No hay ruta
157,18-35,Prefiero no decirlo,3.5,Patrimonio,1-50 Euros,Baja,Solo,Pie,Serrans - Palau de la Generalitat
158,+45,Hombre,7.5,Literaria,1-50 Euros,Baja,Solo,Pie,Entre Naranjos
159,35-45,Hombre,7.5,Literaria,+50 Euros,Alta,Solo,Bicicleta,Trinitat - L'Almodí
160,+45,Prefiero no decirlo,5.5,Historica,Gratis,Baja,Pareja,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
161,18-35,Mujer,5.5,Turistica,1-50 Euros,Baja,Amigos,Pie,Arbres: Un viatge pel Mediterrani
162,35-45,Hombre,1.5,Patrimonio,Gratis,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
163,0-18,Prefiero no decirlo,3.5,Historica,+50 Euros,Alta,Familia,Bicicleta,Trinitat - L'Almodí
164,0-18,Hombre,3.5,Turistica,Gratis,Alta,Amigos,Pie,Glorieta-Santa Catalina
165,0-18,Prefiero no decirlo,3.5,Turistica,Gratis,Alta,Solo,Pie,Glorieta-Santa Catalina
166,18-35,Hombre,5.5,Turistica,+50 Euros,Baja,Pareja,Pie,Arbres: Un passeig per l’Albereda
167,18-35,Mujer,7.5,Historica,Gratis,Alta,Amigos,Pie,Ruta de la Seda
168,0-18,Mujer,7.5,Literaria,+50 Euros,Baja,Familia,Bicicleta,Entre Naranjos
169,+45,Hombre,7.5,Historica,+50 Euros,Baja,Pareja,Pie,Ruta dels Pecats a l'entorn del Mercat Central
170,18-35,Hombre,3.5,Patrimonio,+50 Euros,Baja,Pareja,Bicicleta,Arbres monumentals i singulars
171,0-18,Prefiero no decirlo,3.5,Literaria,+50 Euros,Alta,Solo,Pie,Glorieta-Santa Catalina
172,35-45,Hombre,3.5,Historica,1-50 Euros,Alta,Pareja,Pie,Glorieta-Santa Catalina
173,18-35,Hombre,3.5,Historica,1-50 Euros,Alta,Pareja,Pie,Ruta de la Seda
174,18-35,Prefiero no decirlo,1.5,Turistica,1-50 Euros,Baja,Solo,Pie,Arbres: Els indians
175,18-35,Hombre,5.5,Patrimonio,1-50 Euros,Alta,Pareja,Bicicleta,Ruta València amb bicicleta
176,18-35,Mujer,7.5,Patrimonio,1-50 Euros,Baja,Pareja,Pie,Serrans - Palau de la Generalitat
177,+45,Mujer,7.5,Literaria,1-50 Euros,Baja,Amigos,Bicicleta,Entre Naranjos
178,18-35,Prefiero no decirlo,5.5,Turistica,1-50 Euros,Alta,Familia,Pie,Ruta pel Centre Històric
179,18-35,Mujer,3.5,Patrimonio,1-50 Euros,Alta,Amigos,Bicicleta,Ruta València amb bicicleta
180,0-18,Hombre,1.5,Turistica,Gratis,Baja,Solo,Bicicleta,Arbres: La volta al món
181,35-45,Mujer,3.5,Turistica,Gratis,Baja,Familia,Pie,Arbres: La volta al món
182,+45,Prefiero no decirlo,5.5,Patrimonio,1-50 Euros,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
183,0-18,Hombre,3.5,Historica,1-50 Euros,Baja,Solo,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
184,+45,Mujer,3.5,Historica,1-50 Euros,Alta,Amigos,Pie,Trinitat - L'Almodí
185,35-45,Prefiero no decirlo,3.5,Turistica,+50 Euros,Baja,Pareja,Bicicleta,Arbres: La volta al món
186,0-18,Prefiero no decirlo,3.5,Patrimonio,1-50 Euros,Baja,Amigos,Bicicleta,Torres de Quart - Temple
187,35-45,Hombre,1.5,Historica,+50 Euros,Alta,Pareja,Bicicleta,Trinitat - L'Almodí
188,18-35,Hombre,3.5,Turistica,1-50 Euros,Baja,Pareja,Pie,Arbres: Un viatge pel Mediterrani
189,35-45,Hombre,7.5,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,Arbres: La volta al món
190,0-18,Prefiero no decirlo,5.5,Historica,+50 Euros,Baja,Solo,Pie,Ruta dels Pecats a l'entorn del Mercat Central
191,18-35,Prefiero no decirlo,1.5,Literaria,+50 Euros,Baja,Solo,Pie,Contes Blasco Ibañez – Ruta 2
192,35-45,Hombre,1.5,Literaria,Gratis,Baja,Amigos,Pie,Entre Naranjos
193,0-18,Hombre,3.5,Historica,1-50 Euros,Alta,Solo,Pie,Trinitat - L'Almodí
194,+45,Hombre,7.5,Historica,+50 Euros,Baja,Solo,Pie,Ruta dels Pecats a l'entorn del Mercat Central
195,+45,Mujer,1.5,Literaria,Gratis,Alta,Familia,Pie,Trinitat - L'Almodí
196,18-35,Hombre,5.5,Patrimonio,+50 Euros,Baja,Amigos,Pie,Serrans - Palau de la Generalitat
197,0-18,Mujer,1.5,Historica,Gratis,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
198,18-35,Hombre,3.5,Patrimonio,1-50 Euros,Alta,Familia,Bicicleta,Ruta València amb bicicleta
199,+45,Mujer,3.5,Historica,+50 Euros,Alta,Solo,Bicicleta,Trinitat - L'Almodí
200,18-35,Prefiero no decirlo,5.5,Patrimonio,1-50 Euros,Baja,Amigos,Pie,Serrans - Palau de la Generalitat
201,0-18,Hombre,7.5,Turistica,Gratis,Baja,Amigos,Bicicleta,Arbres: La volta al món
202,0-18,Hombre,1.5,Literaria,+50 Euros,Baja,Solo,Bicicleta,Entre Naranjos
203,+45,Mujer,1.5,Patrimonio,1-50 Euros,Baja,Pareja,Bicicleta,Sant Agustí - Portal Nou
204,0-18,Prefiero no decirlo,5.5,Literaria,Gratis,Alta,Amigos,Pie,Glorieta-Santa Catalina
205,18-35,Hombre,7.5,Patrimonio,1-50 Euros,Alta,Pareja,Pie,Sant Agustí – Pont de Fusta
206,18-35,Prefiero no decirlo,1.5,Turistica,Gratis,Baja,Pareja,Pie,Arbres: Els indians
207,0-18,Mujer,7.5,Literaria,1-50 Euros,Baja,Solo,Bicicleta,Contes Blasco Ibañez – Ruta 1
208,18-35,Hombre,3.5,Turistica,+50 Euros,Alta,Pareja,Bicicleta,Ruta València amb bicicleta
209,18-35,Prefiero no decirlo,3.5,Literaria,1-50 Euros,Baja,Solo,Pie,La barraca
210,+45,Mujer,5.5,Historica,Gratis,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
211,35-45,Mujer,3.5,Turistica,1-50 Euros,Baja,Solo,Pie,Arbres: La volta al món
212,+45,Mujer,3.5,Literaria,Gratis,Alta,Familia,Bicicleta,Trinitat - L'Almodí
213,35-45,Hombre,3.5,Literaria,+50 Euros,Baja,Pareja,Pie,Entre Naranjos
214,0-18,Hombre,3.5,Literaria,Gratis,Alta,Amigos,Pie,Glorieta-Santa Catalina
215,35-45,Mujer,1.5,Literaria,1-50 Euros,Baja,Pareja,Bicicleta,Contes Blasco Ibañez – Ruta 1
216,0-18,Mujer,7.5,Historica,1-50 Euros,Alta,Familia,Bicicleta,Trinitat - L'Almodí
217,35-45,Mujer,7.5,Turistica,1-50 Euros,Baja,Solo,Bicicleta,Arbres: La volta al món
218,0-18,Hombre,7.5,Patrimonio,1-50 Euros,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
219,+45,Prefiero no decirlo,1.5,Patrimonio,+50 Euros,Baja,Familia,Pie,Sant Agustí - Portal Nou
220,18-35,Hombre,7.5,Patrimonio,Gratis,Alta,Familia,Pie,Sant Agustí – Pont de Fusta
221,35-45,Mujer,7.5,Patrimonio,Gratis,Baja,Solo,Bicicleta,Ruta Carrer Russafa - la Llotja
222,18-35,Mujer,3.5,Patrimonio,1-50 Euros,Baja,Pareja,Pie,Serrans - Palau de la Generalitat
223,18-35,Mujer,3.5,Turistica,1-50 Euros,Alta,Familia,Pie,Ruta pel Centre Històric
224,18-35,Prefiero no decirlo,7.5,Literaria,+50 Euros,Alta,Amigos,Pie,No hay ruta
225,35-45,Mujer,7.5,Patrimonio,1-50 Euros,Alta,Amigos,Pie,Trinitat - L'Almodí
226,35-45,Mujer,5.5,Patrimonio,+50 Euros,Alta,Solo,Bicicleta,Trinitat - L'Almodí
227,18-35,Prefiero no decirlo,5.5,Turistica,1-50 Euros,Alta,Solo,Pie,Ruta pel Centre Històric
228,+45,Hombre,1.5,Turistica,+50 Euros,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
229,35-45,Prefiero no decirlo,1.5,Turistica,Gratis,Baja,Familia,Pie,Arbres: La volta al món
230,18-35,Prefiero no decirlo,7.5,Turistica,+50 Euros,Alta,Pareja,Bicicleta,Ruta València amb bicicleta
231,+45,Mujer,7.5,Historica,Gratis,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
232,0-18,Mujer,1.5,Patrimonio,Gratis,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
233,0-18,Prefiero no decirlo,3.5,Literaria,1-50 Euros,Baja,Pareja,Pie,Entre Naranjos
234,+45,Mujer,7.5,Historica,1-50 Euros,Alta,Pareja,Pie,Glorieta-Santa Catalina
235,+45,Hombre,1.5,Historica,+50 Euros,Baja,Familia,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
236,18-35,Prefiero no decirlo,7.5,Turistica,Gratis,Baja,Solo,Bicicleta,Arbres monumentals i singulars
237,0-18,Hombre,5.5,Literaria,+50 Euros,Alta,Amigos,Pie,Trinitat - L'Almodí
238,35-45,Hombre,1.5,Patrimonio,Gratis,Baja,Pareja,Bicicleta,Sant Agustí - Portal Nou
239,18-35,Prefiero no decirlo,7.5,Historica,Gratis,Baja,Solo,Bicicleta,Ruta Cultural Anell Ciclista
240,0-18,Hombre,5.5,Turistica,1-50 Euros,Alta,Solo,Pie,Trinitat - L'Almodí
241,18-35,Mujer,7.5,Literaria,1-50 Euros,Alta,Pareja,Pie,No hay ruta
