,age,gender,time,type_route,price,difficulty,accompaniment,transport,route_id
31,0-18,Otro,5.5,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
32,0-18,Otro,3.5,Literaria,+50 Euros,Alta,Pareja,A Pie,Trinitat - L'Almodí
33,35-45,Hombre,1.5,Turistica,1-50 Euros,Baja,Pareja,A Pie,Arbres: La volta al món
34,+45,Hombre,5.5,Literaria,Gratis,Alta,Pareja,A Pie,Trinitat - L'Almodí
35,+45,Hombre,1.5,Patrimonio,+50 Euros,Alta,Amigos,A Pie,Glorieta-Santa Catalina
36,35-45,Otro,1.5,Historica,1-50 Euros,Alta,Pareja,Bicicleta,Trinitat - L'Almodí
37,+45,Hombre,5.5,Patrimonio,+50 Euros,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
38,18-35,Otro,5.5,Literaria,Gratis,Baja,Familia,A Pie,Contes Blasco Ibañez – Ruta 2
39,35-45,Otro,3.5,Patrimonio,Gratis,Baja,Solo,A Pie,Torres de Quart - Temple
40,35-45,Mujer,3.5,Historica,+50 Euros,Alta,Amigos,A Pie,Glorieta-Santa Catalina
41,18-35,Mujer,5.5,Literaria,Gratis,Alta,Pareja,A Pie,No hay ruta
42,0-18,Mujer,3.5,Turistica,1-50 Euros,Baja,Familia,Bicicleta,Arbres: La volta al món
43,+45,Otro,3.5,Literaria,1-50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
44,18-35,Otro,3.5,Turistica,Gratis,Baja,Solo,A Pie,Arbres: Un viatge pel Mediterrani
45,+45,Mujer,1.5,Patrimonio,+50 Euros,Baja,Solo,Bicicleta,Sant Agustí - Portal Nou
46,+45,Mujer,1.5,Literaria,Gratis,Alta,Familia,A Pie,Glorieta-Santa Catalina
47,35-45,Mujer,5.5,Turistica,Gratis,Baja,Familia,A Pie,Arbres: La volta al món
48,35-45,Otro,3.5,Literaria,1-50 Euros,Baja,Solo,A Pie,Entre Naranjos
49,+45,Otro,5.5,Literaria,1-50 Euros,Alta,Amigos,A Pie,Trinitat - L'Almodí
50,18-35,Otro,5.5,Historica,1-50 Euros,Alta,Familia,Bicicleta,Ruta València amb bicicleta
51,35-45,Otro,7.5,Patrimonio,1-50 Euros,Baja,Familia,A Pie,Ruta Carrer Russafa - la Llotja
52,+45,Otro,3.5,Historica,1-50 Euros,Alta,Solo,Bicicleta,Trinitat - L'Almodí
53,0-18,Otro,5.5,Patrimonio,1-50 Euros,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
54,+45,Mujer,1.5,Turistica,Gratis,Baja,Solo,A Pie,Arbres: La volta al món
55,0-18,Otro,5.5,Patrimonio,+50 Euros,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
56,35-45,Hombre,5.5,Turistica,1-50 Euros,Alta,Amigos,A Pie,Glorieta-Santa Catalina
57,35-45,Otro,3.5,Literaria,Gratis,Baja,Pareja,Bicicleta,Entre Naranjos
58,+45,Otro,1.5,Historica,Gratis,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
59,35-45,Otro,7.5,Patrimonio,Gratis,Alta,Pareja,A Pie,Glorieta-Santa Catalina
60,+45,Mujer,7.5,Literaria,Gratis,Baja,Pareja,A Pie,Contes Blasco Ibañez – Ruta 1
61,35-45,Otro,5.5,Turistica,1-50 Euros,Baja,Solo,A Pie,Arbres: La volta al món
62,0-18,Hombre,1.5,Patrimonio,Gratis,Baja,Amigos,A Pie,Sant Agustí - Portal Nou
63,35-45,Hombre,3.5,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,Arbres: La volta al món
64,+45,Hombre,1.5,Literaria,Gratis,Baja,Solo,A Pie,Contes Blasco Ibañez – Ruta 1
65,+45,Hombre,3.5,Historica,1-50 Euros,Alta,Pareja,Bicicleta,Trinitat - L'Almodí
66,35-45,Otro,5.5,Literaria,+50 Euros,Baja,Solo,A Pie,Entre Naranjos
67,18-35,Mujer,3.5,Turistica,1-50 Euros,Alta,Pareja,A Pie,Ruta pel Centre Històric
68,18-35,Otro,7.5,Literaria,1-50 Euros,Alta,Pareja,A Pie,No hay ruta
69,+45,Mujer,1.5,Literaria,Gratis,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
70,0-18,Mujer,5.5,Literaria,Gratis,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
71,+45,Hombre,3.5,Historica,Gratis,Alta,Solo,A Pie,Glorieta-Santa Catalina
72,35-45,Otro,5.5,Turistica,+50 Euros,Alta,Pareja,A Pie,Trinitat - L'Almodí
73,0-18,Otro,1.5,Literaria,Gratis,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
74,18-35,Hombre,1.5,Patrimonio,+50 Euros,Baja,Amigos,Bicicleta,Ruta Cultural Anell Ciclista
75,18-35,Otro,3.5,Turistica,+50 Euros,Baja,Familia,A Pie,Arbres: Un passeig per l’Albereda
76,35-45,Mujer,7.5,Historica,1-50 Euros,Alta,Solo,A Pie,Trinitat - L'Almodí
77,18-35,Mujer,1.5,Turistica,Gratis,Alta,Amigos,A Pie,Ruta pel Centre Històric
78,35-45,Otro,5.5,Historica,Gratis,Alta,Solo,A Pie,Glorieta-Santa Catalina
79,35-45,Otro,3.5,Turistica,1-50 Euros,Baja,Amigos,Bicicleta,Arbres: La volta al món
80,0-18,Hombre,5.5,Patrimonio,1-50 Euros,Alta,Solo,Bicicleta,Trinitat - L'Almodí
81,0-18,Mujer,3.5,Literaria,+50 Euros,Baja,Familia,A Pie,Entre Naranjos
82,35-45,Otro,5.5,Patrimonio,Gratis,Baja,Amigos,Bicicleta,Ruta Carrer Russafa - la Llotja
83,0-18,Otro,5.5,Turistica,+50 Euros,Alta,Pareja,A Pie,Glorieta-Santa Catalina
84,35-45,Otro,5.5,Literaria,Gratis,Baja,Amigos,Bicicleta,Contes Blasco Ibañez – Ruta 1
85,35-45,Mujer,1.5,Historica,1-50 Euros,Alta,Solo,Bicicleta,Trinitat - L'Almodí
86,+45,Otro,7.5,Turistica,+50 Euros,Baja,Solo,Bicicleta,Arbres: La volta al món
87,18-35,Otro,5.5,Literaria,1-50 Euros,Baja,Pareja,Bicicleta,Ruta Cultural Anell Ciclista
88,35-45,Otro,1.5,Literaria,+50 Euros,Baja,Amigos,Bicicleta,Entre Naranjos
89,0-18,Hombre,3.5,Literaria,1-50 Euros,Baja,Amigos,Bicicleta,Entre Naranjos
90,0-18,Mujer,5.5,Patrimonio,1-50 Euros,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
91,0-18,Mujer,3.5,Turistica,+50 Euros,Baja,Solo,A Pie,Arbres: La volta al món
92,18-35,Otro,7.5,Literaria,1-50 Euros,Baja,Amigos,Bicicleta,Ruta Cultural Anell Ciclista
93,+45,Hombre,7.5,Patrimonio,1-50 Euros,Alta,Familia,A Pie,Glorieta-Santa Catalina
94,0-18,Mujer,1.5,Turistica,1-50 Euros,Alta,Pareja,A Pie,Glorieta-Santa Catalina
95,0-18,Mujer,7.5,Turistica,Gratis,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
96,35-45,Hombre,7.5,Literaria,Gratis,Baja,Pareja,A Pie,Entre Naranjos
97,+45,Mujer,3.5,Literaria,Gratis,Baja,Solo,A Pie,Entre Naranjos
98,+45,Hombre,5.5,Patrimonio,+50 Euros,Alta,Pareja,A Pie,Glorieta-Santa Catalina
99,+45,Otro,1.5,Literaria,Gratis,Alta,Familia,A Pie,Glorieta-Santa Catalina
100,35-45,Mujer,7.5,Historica,Gratis,Alta,Solo,Bicicleta,Trinitat - L'Almodí
101,35-45,Otro,3.5,Turistica,+50 Euros,Baja,Pareja,A Pie,Arbres: La volta al món
102,0-18,Hombre,5.5,Historica,+50 Euros,Alta,Amigos,A Pie,Trinitat - L'Almodí
103,18-35,Hombre,1.5,Turistica,1-50 Euros,Alta,Familia,A Pie,Ruta pel Centre Històric
104,18-35,Hombre,1.5,Historica,1-50 Euros,Alta,Pareja,Bicicleta,Ruta València amb bicicleta
105,18-35,Otro,3.5,Patrimonio,1-50 Euros,Alta,Familia,Bicicleta,Ruta València amb bicicleta
106,18-35,Mujer,7.5,Patrimonio,Gratis,Alta,Familia,A Pie,Sant Agustí – Pont de Fusta
107,18-35,Otro,3.5,Turistica,Gratis,Alta,Solo,Bicicleta,Ruta València amb bicicleta
108,18-35,Hombre,1.5,Patrimonio,1-50 Euros,Baja,Familia,Bicicleta,Ruta Cultural Anell Ciclista
109,18-35,Mujer,3.5,Literaria,Gratis,Alta,Amigos,Bicicleta,Ruta València amb bicicleta
110,18-35,Hombre,5.5,Turistica,+50 Euros,Baja,Pareja,Bicicleta,Arbres monumentals i singulars
111,35-45,Hombre,1.5,Literaria,1-50 Euros,Baja,Pareja,A Pie,Contes Blasco Ibañez – Ruta 1
112,0-18,Mujer,5.5,Patrimonio,1-50 Euros,Alta,Solo,A Pie,Trinitat - L'Almodí
113,0-18,Otro,3.5,Turistica,+50 Euros,Baja,Amigos,A Pie,Arbres: La volta al món
114,35-45,Mujer,5.5,Literaria,Gratis,Baja,Solo,Bicicleta,Contes Blasco Ibañez – Ruta 1
115,+45,Hombre,5.5,Patrimonio,1-50 Euros,Baja,Amigos,A Pie,Ruta Carrer Russafa - la Llotja
116,+45,Mujer,3.5,Historica,Gratis,Baja,Pareja,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
117,0-18,Otro,5.5,Literaria,+50 Euros,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
118,18-35,Otro,7.5,Turistica,+50 Euros,Baja,Solo,A Pie,Arbres: Un passeig per l’Albereda
119,18-35,Mujer,1.5,Patrimonio,Gratis,Baja,Amigos,A Pie,Serrans - Palau de la Generalitat
120,35-45,Hombre,5.5,Literaria,+50 Euros,Baja,Solo,A Pie,Contes Blasco Ibañez – Ruta 1
121,0-18,Hombre,7.5,Literaria,1-50 Euros,Alta,Pareja,Bicicleta,Trinitat - L'Almodí
122,+45,Hombre,3.5,Turistica,Gratis,Baja,Amigos,A Pie,Arbres: La volta al món
123,35-45,Mujer,1.5,Turistica,+50 Euros,Alta,Pareja,A Pie,Glorieta-Santa Catalina
124,+45,Hombre,7.5,Patrimonio,+50 Euros,Baja,Familia,Bicicleta,Ruta Carrer Russafa - la Llotja
125,+45,Mujer,5.5,Literaria,1-50 Euros,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
126,18-35,Otro,7.5,Literaria,+50 Euros,Baja,Solo,A Pie,Contes Blasco Ibañez – Ruta 2
127,+45,Otro,1.5,Literaria,Gratis,Baja,Amigos,Bicicleta,Entre Naranjos
128,18-35,Hombre,3.5,Historica,Gratis,Alta,Familia,A Pie,Ruta recinte enmurallat d'època islàmica
129,+45,Otro,5.5,Turistica,+50 Euros,Alta,Pareja,A Pie,Trinitat - L'Almodí
130,35-45,Hombre,5.5,Historica,1-50 Euros,Alta,Amigos,A Pie,Glorieta-Santa Catalina
131,18-35,Hombre,7.5,Patrimonio,1-50 Euros,Alta,Familia,Bicicleta,Ruta València amb bicicleta
132,35-45,Hombre,7.5,Literaria,+50 Euros,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
133,+45,Otro,7.5,Literaria,+50 Euros,Baja,Pareja,A Pie,Contes Blasco Ibañez – Ruta 1
134,0-18,Mujer,3.5,Patrimonio,1-50 Euros,Alta,Amigos,A Pie,Glorieta-Santa Catalina
135,35-45,Otro,5.5,Literaria,+50 Euros,Alta,Solo,A Pie,Trinitat - L'Almodí
136,0-18,Hombre,3.5,Historica,Gratis,Alta,Pareja,A Pie,Trinitat - L'Almodí
137,35-45,Hombre,3.5,Literaria,1-50 Euros,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
138,35-45,Hombre,1.5,Literaria,Gratis,Baja,Solo,Bicicleta,Entre Naranjos
139,0-18,Otro,1.5,Turistica,Gratis,Baja,Familia,Bicicleta,Arbres: La volta al món
140,35-45,Otro,7.5,Turistica,+50 Euros,Alta,Familia,Bicicleta,Trinitat - L'Almodí
141,35-45,Hombre,1.5,Patrimonio,1-50 Euros,Baja,Familia,Bicicleta,Sant Agustí - Portal Nou
142,+45,Mujer,1.5,Historica,1-50 Euros,Baja,Pareja,A Pie,Ruta dels Pecats a l'entorn del Mercat Central
143,18-35,Otro,5.5,Literaria,Gratis,Alta,Pareja,A Pie,No hay ruta
144,35-45,Hombre,5.5,Literaria,+50 Euros,Baja,Pareja,Bicicleta,Contes Blasco Ibañez – Ruta 1
145,+45,Otro,1.5,Patrimonio,+50 Euros,Baja,Familia,A Pie,Sant Agustí - Portal Nou
146,18-35,Mujer,3.5,Patrimonio,Gratis,Alta,Pareja,Bicicleta,Ruta València amb bicicleta
147,35-45,Mujer,3.5,Patrimonio,+50 Euros,Baja,Amigos,Bicicleta,Torres de Quart - Temple
148,+45,Hombre,3.5,Patrimonio,Gratis,Baja,Pareja,Bicicleta,Torres de Quart - Temple
149,+45,Otro,1.5,Historica,Gratis,Baja,Pareja,A Pie,Ruta dels Pecats a l'entorn del Mercat Central
150,18-35,Mujer,1.5,Historica,1-50 Euros,Alta,Amigos,A Pie,Ruta recinte enmurallat d'època islàmica
151,+45,Mujer,7.5,Patrimonio,+50 Euros,Baja,Amigos,A Pie,Ruta Carrer Russafa - la Llotja
152,18-35,Hombre,1.5,Literaria,Gratis,Alta,Solo,Bicicleta,Ruta València amb bicicleta
153,18-35,Hombre,5.5,Literaria,Gratis,Baja,Familia,Bicicleta,Arbres monumentals i singulars
154,35-45,Hombre,5.5,Historica,Gratis,Alta,Pareja,A Pie,Glorieta-Santa Catalina
155,35-45,Hombre,3.5,Turistica,Gratis,Alta,Solo,A Pie,Trinitat - L'Almodí
156,35-45,Hombre,1.5,Patrimonio,1-50 Euros,Alta,Familia,A Pie,Trinitat - L'Almodí
157,0-18,Hombre,5.5,Patrimonio,Gratis,Baja,Amigos,Bicicleta,Ruta Carrer Russafa - la Llotja
158,0-18,Otro,3.5,Historica,Gratis,Alta,Solo,A Pie,Trinitat - L'Almodí
159,35-45,Otro,5.5,Patrimonio,Gratis,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
160,0-18,Otro,7.5,Historica,1-50 Euros,Baja,Amigos,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
161,35-45,Hombre,3.5,Literaria,+50 Euros,Baja,Pareja,A Pie,Entre Naranjos
162,18-35,Mujer,7.5,Historica,Gratis,Baja,Amigos,A Pie,Ruta Valencia en la Memòria
163,18-35,Otro,1.5,Turistica,Gratis,Baja,Solo,Bicicleta,Ruta Cultural Anell Ciclista
164,18-35,Otro,3.5,Literaria,Gratis,Alta,Pareja,A Pie,No hay ruta
165,+45,Mujer,3.5,Patrimonio,1-50 Euros,Baja,Familia,A Pie,Torres de Quart - Temple
166,+45,Mujer,1.5,Turistica,Gratis,Baja,Amigos,Bicicleta,Arbres: La volta al món
167,35-45,Mujer,3.5,Historica,Gratis,Baja,Familia,A Pie,Ruta dels Pecats a l'entorn del Mercat Central
168,0-18,Mujer,1.5,Literaria,Gratis,Baja,Pareja,Bicicleta,Contes Blasco Ibañez – Ruta 1
169,35-45,Otro,3.5,Historica,Gratis,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
170,35-45,Mujer,3.5,Historica,+50 Euros,Baja,Amigos,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
171,0-18,Otro,1.5,Literaria,1-50 Euros,Alta,Familia,A Pie,Trinitat - L'Almodí
172,18-35,Mujer,3.5,Historica,1-50 Euros,Baja,Pareja,A Pie,Ruta Valencia en la Memòria
173,18-35,Mujer,3.5,Turistica,+50 Euros,Baja,Solo,Bicicleta,Arbres monumentals i singulars
174,+45,Otro,7.5,Patrimonio,+50 Euros,Baja,Pareja,Bicicleta,Ruta Carrer Russafa - la Llotja
175,35-45,Otro,7.5,Patrimonio,+50 Euros,Baja,Solo,Bicicleta,Ruta Carrer Russafa - la Llotja
176,0-18,Mujer,5.5,Patrimonio,+50 Euros,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
177,0-18,Mujer,3.5,Historica,+50 Euros,Baja,Solo,A Pie,Ruta dels Pecats a l'entorn del Mercat Central
178,35-45,Hombre,1.5,Patrimonio,1-50 Euros,Baja,Pareja,A Pie,Sant Agustí - Portal Nou
179,35-45,Mujer,7.5,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
180,35-45,Hombre,5.5,Historica,Gratis,Baja,Pareja,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
181,35-45,Otro,7.5,Literaria,+50 Euros,Baja,Solo,A Pie,Entre Naranjos
182,+45,Mujer,3.5,Historica,+50 Euros,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
183,0-18,Mujer,1.5,Turistica,+50 Euros,Baja,Pareja,A Pie,Arbres: La volta al món
184,35-45,Otro,3.5,Literaria,+50 Euros,Alta,Pareja,A Pie,Glorieta-Santa Catalina
185,18-35,Otro,5.5,Literaria,+50 Euros,Baja,Amigos,Bicicleta,Arbres monumentals i singulars
186,+45,Hombre,5.5,Turistica,1-50 Euros,Alta,Amigos,A Pie,Glorieta-Santa Catalina
187,35-45,Mujer,3.5,Historica,+50 Euros,Alta,Solo,A Pie,Glorieta-Santa Catalina
188,+45,Mujer,7.5,Historica,+50 Euros,Baja,Familia,A Pie,Ruta dels Pecats a l'entorn del Mercat Central
189,18-35,Mujer,7.5,Patrimonio,Gratis,Baja,Solo,A Pie,Serrans - Palau de la Generalitat
190,+45,Otro,7.5,Patrimonio,1-50 Euros,Baja,Amigos,A Pie,Ruta Carrer Russafa - la Llotja
191,0-18,Hombre,1.5,Patrimonio,Gratis,Alta,Solo,A Pie,Glorieta-Santa Catalina
192,18-35,Otro,3.5,Literaria,+50 Euros,Alta,Pareja,A Pie,No hay ruta
193,0-18,Mujer,5.5,Turistica,1-50 Euros,Baja,Familia,Bicicleta,Arbres: La volta al món
194,35-45,Mujer,7.5,Historica,+50 Euros,Alta,Solo,A Pie,Glorieta-Santa Catalina
195,+45,Hombre,3.5,Patrimonio,1-50 Euros,Alta,Pareja,Bicicleta,Trinitat - L'Almodí
196,0-18,Mujer,5.5,Patrimonio,Gratis,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
197,18-35,Hombre,5.5,Historica,1-50 Euros,Baja,Amigos,Bicicleta,Arbres monumentals i singulars
198,0-18,Hombre,7.5,Patrimonio,1-50 Euros,Alta,Familia,A Pie,Glorieta-Santa Catalina
199,35-45,Otro,3.5,Literaria,+50 Euros,Baja,Pareja,Bicicleta,Contes Blasco Ibañez – Ruta 1
200,35-45,Otro,5.5,Literaria,+50 Euros,Baja,Amigos,Bicicleta,Entre Naranjos
201,0-18,Otro,7.5,Turistica,1-50 Euros,Baja,Familia,Bicicleta,Arbres: La volta al món
202,35-45,Hombre,5.5,Patrimonio,+50 Euros,Baja,Pareja,Bicicleta,Ruta Carrer Russafa - la Llotja
203,18-35,Hombre,7.5,Historica,+50 Euros,Alta,Amigos,Bicicleta,Ruta València amb bicicleta
204,0-18,Otro,1.5,Patrimonio,Gratis,Alta,Pareja,A Pie,Glorieta-Santa Catalina
205,+45,Mujer,3.5,Literaria,1-50 Euros,Alta,Solo,A Pie,Glorieta-Santa Catalina
206,18-35,Mujer,5.5,Turistica,Gratis,Baja,Amigos,A Pie,Arbres: Un passeig per l’Albereda
207,18-35,Mujer,5.5,Literaria,1-50 Euros,Baja,Familia,Bicicleta,Ruta Cultural Anell Ciclista
208,+45,Otro,5.5,Historica,Gratis,Baja,Amigos,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
209,35-45,Hombre,3.5,Literaria,1-50 Euros,Alta,Familia,A Pie,Trinitat - L'Almodí
210,18-35,Otro,7.5,Turistica,1-50 Euros,Alta,Solo,A Pie,Ruta pel Centre Històric
211,+45,Mujer,5.5,Historica,Gratis,Baja,Solo,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
212,18-35,Mujer,7.5,Turistica,+50 Euros,Baja,Amigos,A Pie,Arbres: Un passeig per l’Albereda
213,35-45,Mujer,5.5,Patrimonio,1-50 Euros,Baja,Amigos,A Pie,Ruta Carrer Russafa - la Llotja
214,+45,Hombre,3.5,Literaria,Gratis,Alta,Solo,Bicicleta,Trinitat - L'Almodí
215,0-18,Mujer,1.5,Historica,Gratis,Alta,Pareja,A Pie,Trinitat - L'Almodí
216,35-45,Mujer,5.5,Patrimonio,1-50 Euros,Alta,Amigos,A Pie,Trinitat - L'Almodí
217,+45,Hombre,3.5,Literaria,1-50 Euros,Alta,Amigos,A Pie,Glorieta-Santa Catalina
218,18-35,Otro,5.5,Historica,Gratis,Baja,Pareja,Bicicleta,Arbres monumentals i singulars
219,0-18,Mujer,3.5,Literaria,Gratis,Baja,Familia,Bicicleta,Contes Blasco Ibañez – Ruta 1
220,0-18,Mujer,3.5,Turistica,+50 Euros,Baja,Familia,Bicicleta,Arbres: La volta al món
221,35-45,Mujer,1.5,Turistica,Gratis,Alta,Familia,A Pie,Trinitat - L'Almodí
222,0-18,Hombre,7.5,Historica,1-50 Euros,Alta,Solo,A Pie,Glorieta-Santa Catalina
223,35-45,Mujer,5.5,Literaria,+50 Euros,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
224,+45,Otro,7.5,Literaria,1-50 Euros,Baja,Pareja,A Pie,Entre Naranjos
225,35-45,Mujer,1.5,Turistica,1-50 Euros,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
226,0-18,Hombre,5.5,Historica,Gratis,Alta,Familia,A Pie,Glorieta-Santa Catalina
227,18-35,Otro,1.5,Literaria,1-50 Euros,Alta,Amigos,Bicicleta,Ruta València amb bicicleta
228,18-35,Otro,7.5,Historica,+50 Euros,Baja,Amigos,Bicicleta,Ruta Cultural Anell Ciclista
229,18-35,Mujer,7.5,Patrimonio,+50 Euros,Alta,Solo,Bicicleta,Ruta València amb bicicleta
230,18-35,Hombre,5.5,Patrimonio,Gratis,Baja,Solo,A Pie,Serrans - Palau de la Generalitat
231,35-45,Hombre,7.5,Patrimonio,1-50 Euros,Baja,Pareja,A Pie,Ruta Carrer Russafa - la Llotja
232,0-18,Hombre,1.5,Patrimonio,1-50 Euros,Alta,Solo,A Pie,Glorieta-Santa Catalina
233,+45,Mujer,5.5,Literaria,1-50 Euros,Alta,Amigos,A Pie,Trinitat - L'Almodí
234,35-45,Hombre,7.5,Patrimonio,1-50 Euros,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
235,18-35,Otro,5.5,Patrimonio,1-50 Euros,Alta,Familia,A Pie,Jardins del Reial - Glorieta
236,35-45,Hombre,5.5,Historica,Gratis,Baja,Amigos,A Pie,Ruta dels Pecats a l'entorn del Mercat Central
237,+45,Otro,5.5,Literaria,Gratis,Baja,Solo,A Pie,Entre Naranjos
238,18-35,Mujer,3.5,Literaria,1-50 Euros,Alta,Solo,Bicicleta,Ruta València amb bicicleta
239,+45,Hombre,7.5,Patrimonio,+50 Euros,Baja,Amigos,Bicicleta,Ruta Carrer Russafa - la Llotja
240,0-18,Hombre,7.5,Patrimonio,1-50 Euros,Baja,Solo,A Pie,Ruta Carrer Russafa - la Llotja
241,35-45,Otro,7.5,Patrimonio,1-50 Euros,Alta,Amigos,A Pie,Trinitat - L'Almodí
242,18-35,Otro,1.5,Literaria,Gratis,Alta,Amigos,Bicicleta,Ruta València amb bicicleta
243,+45,Hombre,7.5,Turistica,1-50 Euros,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
244,18-35,Otro,7.5,Patrimonio,1-50 Euros,Baja,Pareja,Bicicleta,Arbres monumentals i singulars
245,+45,Mujer,5.5,Turistica,1-50 Euros,Baja,Solo,A Pie,Arbres: La volta al món
246,35-45,Hombre,5.5,Turistica,+50 Euros,Baja,Solo,A Pie,Arbres: La volta al món
247,+45,Otro,3.5,Turistica,+50 Euros,Baja,Familia,Bicicleta,Arbres: La volta al món
248,35-45,Mujer,3.5,Literaria,+50 Euros,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
249,0-18,Otro,1.5,Patrimonio,Gratis,Alta,Amigos,A Pie,Trinitat - L'Almodí
250,0-18,Mujer,3.5,Patrimonio,+50 Euros,Baja,Amigos,Bicicleta,Torres de Quart - Temple
